name, currStatus, capital, 证券机构, 会计事务所, 律师事务所, 资产评估机构
深圳新益昌科技股份有限公司, 2, 5.5199, 上海众华资产评估有限公司, 广发证券股份有限公司, 中瑞世联资产评估（北京）有限公司, 广东信达律师事务所, 天健会计师事务所（特殊普通合伙）
北京青云科技股份有限公司, 2, 11.8816, 中国国际金融股份有限公司, 北京市汉坤律师事务所, 中水致远资产评估有限公司, 容诚会计师事务所（特殊普通合伙）
博众精工科技股份有限公司, 5, 11.0288, 华泰联合证券有限责任公司, 上海澄明则正律师事务所, 立信会计师事务所（特殊普通合伙）, 银信资产评估有限公司
浙江德马科技股份有限公司首次公开发行股票并在科创板上市项目, 5, 3.7798, 国浩律师（杭州）事务所, 光大证券股份有限公司, 信永中和会计师事务所（特殊普通合伙）, 万隆(上海)资产评估有限公司
精英数智科技股份有限公司, 2, 3.3731, 致同会计师事务所（特殊普通合伙）, 北京国枫律师事务所, 中德证券有限责任公司, 中水致远资产评估有限公司
深圳市创鑫激光股份有限公司, 4, 7.6363, 立信会计师事务所（特殊普通合伙）, 海通证券股份有限公司, 广东中广信资产评估有限公司, 北京市中伦律师事务所
云南北方奥雷德光电科技股份有限公司, 2, 5.05, 北京中企华资产评估有限责任公司, 北京市嘉源律师事务所, 信永中和会计师事务所（特殊普通合伙）, 国泰君安证券股份有限公司
湖南金博碳素股份有限公司, 5, 3.2151, 湖南启元律师事务所, 海通证券股份有限公司, 沃克森（北京）国际资产评估有限公司, 天职国际会计师事务所（特殊普通合伙）
无锡奥特维科技股份有限公司, 5, 7.64, 立信中联会计师事务所（特殊普通合伙）, 国浩律师（上海）事务所, 信达证券股份有限公司, 银信资产评估有限公司
苏州工业园区凌志软件股份有限公司, 5, 2.6525, 众华会计师事务所（特殊普通合伙）, 天风证券股份有限公司, 上海立信资产评估有限公司, 上海市锦天城律师事务所
江苏吉贝尔药业股份有限公司, 5, 6.9, 上海众华资产评估有限公司, 国金证券股份有限公司, 信永中和会计师事务所（特殊普通合伙）, 北京市金杜律师事务所
金科环境股份有限公司, 5, 7.3943, 大信会计师事务所（特殊普通合伙）, 中京民信(北京)资产评估有限公司, 北京市君合律师事务所, 招商证券股份有限公司
杭州光云科技股份有限公司, 5, 3.4895, 天津中联资产评估有限责任公司, 上海市瑛明律师事务所, 立信会计师事务所（特殊普通合伙）, 银信资产评估有限公司, 中国国际金融股份有限公司
深圳市财富趋势科技股份有限公司, 5, 7.7799, 广东信达律师事务所, 中审众环会计师事务所（特殊普通合伙）, 中国银河证券股份有限公司, 湖北众联资产评估有限公司
成都先导药物开发股份有限公司, 5, 6.6003, 中国国际金融股份有限公司, 德勤华永会计师事务所（特殊普通合伙）, 北京市君合律师事务所, 北京中天华资产评估有限责任公司
上海硅产业集团股份有限公司, 5, 25, 海通证券股份有限公司, 普华永道中天会计师事务所（特殊普通合伙）, 中联资产评估集团有限公司, 北京市金杜律师事务所
上海三友医疗器械股份有限公司, 5, 6, 上海立信资产评估有限公司, 立信会计师事务所（特殊普通合伙）, 东方花旗证券有限公司, 北京市嘉源律师事务所
江苏京源环保股份有限公司, 5, 2.7643, 北京德恒律师事务所, 平安证券股份有限公司, 大华会计师事务所（特殊普通合伙）
开普云信息科技股份有限公司, 5, 4.6133, 国金证券股份有限公司, 沃克森（北京）国际资产评估有限公司, 天健会计师事务所（特殊普通合伙）, 国浩律师（深圳）事务所
湖南南新制药股份有限公司, 5, 6.697, 湖南启元律师事务所, 沃克森（北京）国际资产评估有限公司, 西部证券股份有限公司, 天职国际会计师事务所（特殊普通合伙）
罗克佳华科技集团股份有限公司, 5, 5, 中瑞世联资产评估（北京）有限公司, 北京市天元律师事务所, 光大证券股份有限公司, 天健会计师事务所（特殊普通合伙）
武汉科前生物股份有限公司, 4, 17.4703, 北京市嘉源律师事务所, 致同会计师事务所（特殊普通合伙）, 招商证券股份有限公司, 中京民信(北京)资产评估有限公司
广州宏晟光电科技股份有限公司, 8, 5.9977, 天健会计师事务所（特殊普通合伙）, 万隆(上海)资产评估有限公司, 兴业证券股份有限公司, 北京市天元律师事务所
广州禾信仪器股份有限公司, 8, 3.4628, 国信证券股份有限公司, 沃克森（北京）国际资产评估有限公司, 天职国际会计师事务所（特殊普通合伙）, 国信信扬律师事务所
广东紫晶信息存储技术股份有限公司, 5, 12.0962, 厦门市大学资产评估土地房地产估价有限责任公司, 广东恒益律师事务所, 致同会计师事务所（特殊普通合伙）, 中信建投证券股份有限公司
华润微电子有限公司首次公开发行股票并在科创板上市, 5, 30, 北京市环球律师事务所, 中国国际金融股份有限公司, 天职国际会计师事务所（特殊普通合伙）
北京石头世纪科技股份有限公司, 5, 13.0157, 北京市中伦律师事务所, 中铭国际资产评估（北京）有限责任公司, 普华永道中天会计师事务所（特殊普通合伙）, 中信证券股份有限公司
百奥泰生物制药股份有限公司, 5, 20, 中国国际金融股份有限公司, 北京市君合律师事务所, 安永华明会计师事务所（特殊普通合伙）
锦州神工半导体股份有限公司, 5, 11.02, 北京市中伦律师事务所, 国泰君安证券股份有限公司, 大信会计师事务所（特殊普通合伙）
北京华峰测控技术股份有限公司, 5, 10, 中国国际金融股份有限公司, 北京德和衡律师事务所, 北京中同华资产评估有限公司, 大信会计师事务所（特殊普通合伙）
